address,cover_alt,cover_src,description,latitude,link,longitude,price,price_currency,price_for,price_specification,recommended_unit,recommended_bed,score,score_aggregate,score_reviews,suburb,title
"140 King Street, 3000 Melbourne, Australia",Meriton Suites Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/468603102.webp?k=3d443767c19f0eb866f2314b408558718cad13882d01c54c0a3ad5ddf4ab6ce7&o=,"Situated in Melbourne and within less than 1 km of Block Arcade Melbourne, Meriton Suites Melbourne has a spa and wellness centre, non-smoking rooms, and free WiFi. This property is set a short distance from attractions such as Eureka Tower, Melbourne Convention and Exhibition Centre, and Southbank Promenade. The property is 700 metres from Southern Cross Station, and within 200 metres of the city centre.

The hotel will provide guests with air-conditioned rooms offering a wardrobe, a coffee machine, a fridge, a dishwasher, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Meriton Suites Melbourne features some rooms with city views, and every room has a kettle. At the accommodation rooms are fitted with bed linen and towels.

Meriton Suites Melbourne offers 5-star accommodation with an indoor pool, fitness centre and sauna.

The reception at the hotel can provide tips on the area.

Popular points of interest near Meriton Suites Melbourne include Crown Casino Melbourne, Melbourne City Conference Centre and Marvel Stadium. Essendon Fields Airport is 11 km from the property.",-37.81688500,https://www.booking.com/hotel/au/meriton-suites-king-street-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=1025002801_375214793_2_0_0&highlighted_blocks=1025002801_375214793_2_0_0&matching_block_id=1025002801_375214793_2_0_0&sr_pri_blocks=1025002801_375214793_2_0_0__26500&from_sustainable_property_sr=1&from=searchresults,144.95616900,265,AUD,"1 night, 1 adult",Includes taxes and charges,Mini Studio,Entire studio•1 bathroom•31m²,9.1,Superb,2060,"Melbourne CBD, Melbourne",Meriton Suites Melbourne
"408 Flinders Lane, 3000 Melbourne, Australia",W Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/430869507.webp?k=ac781c654f3efb38242a87bc4e7938931ddff9241209efcbbc42000677f2bd86&o=,"One of Melbourne's first luxury lifestyle hotels, W Melbourne is located in the CBD on Flinders Lane.
The property offers 5-star accommodation with an indoor pool, sun terrace and state-of-the-art gym. Guests can choose from 3 restaurants and 2 bars. Additionally there is free WiFi and valet car parking is available on a first come, first served basis from $75 per day.
The pool becomes an adult only space from 7PM until 6AM daily.
This property offers an ultra-modern event space, setting the stage for events in Melbourne's CBD.

Popular points of interest near W Melbourne include Block Arcade Melbourne, Eureka Tower and St Paul's Cathedral. The nearest airport is Essendon Fields Airport, 12 km from the hotel.",-37.81845800,https://www.booking.com/hotel/au/w-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=659551505_384748222_2_2_0&highlighted_blocks=659551505_384748222_2_2_0&matching_block_id=659551505_384748222_2_2_0&sr_pri_blocks=659551505_384748222_2_2_0__56500&from_sustainable_property_sr=1&from=searchresults,144.96007800,565,AUD,"1 night, 1 adult",Includes taxes and charges,"Cozy (35sqm), Guest room, 1 King",1 extra-large double bed,9.0,Superb,2951,"Melbourne CBD, Melbourne",W Melbourne
"2 Convention Centre Place, South Wharf, 3006 Melbourne, Australia",Pan Pacific Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/140164504.webp?k=680ca3a3e594d6d07e24e64efa50a5f95087179263f1f6a5a7e85b18042851e4&o=,"Pan Pacific Melbourne offers luxurious and stylish accommodation, with panoramic views of the city, Port Phillip bay or Yarra River.

Pan Pacific Melbourne has direct internal access to the Melbourne Convention and Exhibition Centre. Crown Casino is a 20-minute walk, and Melbourne Tullamarine Airport is a 20-minute drive away.

All air-conditioned modern rooms at the Pan Pacific Melbourne include floor-to-ceiling windows with stunning views. Each room has a work desk, a minibar and tea and coffee making facilities. Each room has a flat-screen TV with satellite channels.

There is 24-hour in room dining available to all in-house guests. Breakfast is also available though the in room dining menu located in guest rooms, and orders can be placed through a food order system.

Pan Pacific Melbourne offers concierge services and the 24-hour front desk can arrange dry cleaning, currency exchange and babysitting. It offers facilities for business meetings and events.",-37.82473891,https://www.booking.com/hotel/au/pan-pacific-melbourne-south-wharf.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=17911703_91465290_0_2_0&highlighted_blocks=17911703_91465290_0_2_0&matching_block_id=17911703_91465290_0_2_0&sr_pri_blocks=17911703_91465290_0_2_0__26800&from_sustainable_property_sr=1&from=searchresults,144.94884297,268,AUD,"1 night, 1 adult",Includes taxes and charges,Deluxe Twin Room,2 single beds,8.9,Fabulous,3561,"Melbourne CBD, Melbourne",Pan Pacific Melbourne
"650 Lonsdale Street, 3000 Melbourne, Australia","The Ritz-Carlton, Melbourne",https://cf.bstatic.com/xdata/images/hotel/square600/484415514.webp?k=da60bad66f7aabf175a2df74c280eb4bae87ff1d9aed2fe19a246356639854ba&o=,"Well located in Melbourne, The Ritz-Carlton, Melbourne provides an à la carte breakfast and free WiFi throughout the property. Providing a restaurant, the property also has a fitness centre, as well as an indoor pool and a hot tub. The accommodation offers room service, a concierge service and currency exchange for guests.

At the hotel each room comes with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a shower, free toiletries and a hairdryer. The Ritz-Carlton, Melbourne features certain rooms with city views, and every room is fitted with a coffee machine. At the accommodation each room has bed linen and towels.

Languages spoken at the reception include Arabic, Mandarin, Greek and English.

Popular points of interest near The Ritz-Carlton, Melbourne include Southern Cross Station, Melbourne City Conference Centre and Crown Casino Melbourne. Essendon Fields Airport is 11 km away.",-37.81402625,https://www.booking.com/hotel/au/the-ritz-carlton-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=932378008_385055574_2_0_0&highlighted_blocks=932378008_385055574_2_0_0&matching_block_id=932378008_385055574_2_0_0&sr_pri_blocks=932378008_385055574_2_0_0__75000&from_sustainable_property_sr=1&from=searchresults,144.9530959,750,AUD,"1 night, 1 adult",Includes taxes and charges,Deluxe King,1 extra-large double bed,9.3,Superb,672,"Melbourne CBD, Melbourne","The Ritz-Carlton, Melbourne"
"679 La Trobe Street, Docklands, 3008 Melbourne, Australia",Peppers Docklands,https://cf.bstatic.com/xdata/images/hotel/square600/385372836.webp?k=5449fe554beb377d7ec2c543d6c078c5ea3daf55dcd21e18f642478e95c99177&o=,"Peppers Docklands, positioned within Melbourne's dynamic Marvel Stadium space, represents contemporary luxury met with city living. This premium hotel offers a blend of modern and stylish suites equipped with exceptional facilities. Indulge in culinary delights at the stylish on-site restaurant and bar MOMAMI, or maintain fitness routines at the well-equipped gym and heated lap pool. Guests will enjoy complimentary Wi-Fi and access to in-room movies for entertainment.
Rooms at Peppers Docklands are designed for supreme comfort, featuring plush bedding, air conditioning, tea/coffee facilities, a minibar, and flat-screen TVs. The bespoke bathrooms boast lavish overhead rain showers, deluxe European fittings, and complimentary toiletries. Conveniently located in the evolving Docklands precinct, the hotel provides easy access to Melbourne's CBD via nearby trams or council bike stations.
Perfect for sophisticated urban explorers, Peppers Docklands offers a blend of modern luxury and convenience amidst Melbourne's bustling atmosphere. Enjoy an unforgettable stay at Peppers Docklands; the ultimate city escape.",-37.814692759394774,https://www.booking.com/hotel/au/peppers-docklands.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=157203823_123451622_1_1_0&highlighted_blocks=157203823_123451622_1_1_0&matching_block_id=157203823_123451622_1_1_0&sr_pri_blocks=157203823_123451622_1_1_0__24663&from_sustainable_property_sr=1&from=searchresults,144.9471384744188,247,AUD,"1 night, 1 adult",Includes taxes and charges,Peppers Petite Room,1 large double bed,8.1,Very,1703,"Docklands, Melbourne",Peppers Docklands
"123 Collins Street, 3000 Melbourne, Australia",Grand Hyatt Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/535067882.webp?k=7a52804624be260c2e753a688c08262e2ba52521c89bccbfb95d0fb6c8e33809&o=,"Located on Collins Street, perfectly positioned in the heart of Melbourne's shopping, dining and theatre centre, Grand Hyatt Melbourne comprises of luxurious guest rooms, and premium suites, all boasting contemporary living and spectacular Melbourne city skyline or picturesque Yarra River views.

Grand Hyatt Melbourne boasts world-class facilities, including upper and lower lobbies, couture boutiques, a signature restaurant Collins Kitchen, a stylish, modern bar Ru-Co, and City Club Health & Fitness Centre, open 24/7, featuring an indoor swimming pool, sauna and open-air tennis court.

Available exclusively to guests booking rooms which include Grand Club access, the Grand Club Lounge is located on the 31st floor of the hotel offering panoramic views of the Melbourne city skyline and high levels of personalised service.

Luxury shopping, high-end restaurants and abundant art and music venues are right on our doorstep. Sporting district is also minutes' away, whether you choose to drive, walk or use the public transport. Melbourne Cricket Ground (MCG) is 1.4km away, Melbourne and Olympic Parks (Australian Open) are only 850m away, and Queen Victoria Market is 1.6km from Grand Hyatt Melbourne.",-37.81470853,https://www.booking.com/hotel/au/grand-hyatt-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=17878034_244942590_2_2_0&highlighted_blocks=17878034_244942590_2_2_0&matching_block_id=17878034_244942590_2_2_0&sr_pri_blocks=17878034_244942590_2_2_0__56800&from_sustainable_property_sr=1&from=searchresults,144.96962607,568,AUD,"1 night, 1 adult",Includes taxes and charges,Deluxe King Room,1 extra-large double bed,8.7,Fabulous,5325,"Melbourne CBD, Melbourne",Grand Hyatt Melbourne
"133 Russell Street, 3000 Melbourne, Australia",QT Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/574933699.webp?k=5d52ced1ca5d6d10b98259e0f8004b909e6da273bb9b022f8787a86f9f766662&o=,"Located in the heart of Melbourne, just 200 metres from the Regent Theatre, QT Melbourne features a terrace and views of the city. Guests can enjoy the on-site restaurant, cafe or bar. The Collins Street shopping precinct is just a 5-minute walk away.

All rooms at the QT boast stylish decor and feature modern conveniences including air-conditioning, a minibar, coffee machine and a flat-screen TV with cable channels. Each room has a private bathroom offering bathrobes and free toiletries.

St Paul's Cathedral is 400 metres from QT Melbourne, while Federation Square is 500 metres from the property. Flemington Racecourse for Melbourne Cup Day is 20 minutes' drive away and Melbourne Airport is 19 km away.",-37.81327763,https://www.booking.com/hotel/au/qt-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=191391101_291375128_2_2_0&highlighted_blocks=191391101_291375128_2_2_0&matching_block_id=191391101_291375128_2_2_0&sr_pri_blocks=191391101_291375128_2_2_0__49770&from_sustainable_property_sr=1&from=searchresults,144.96827482,498,AUD,"1 night, 1 adult",Includes taxes and charges,QT King Room,1 extra-large double bed,8.9,Fabulous,2720,"Melbourne CBD, Melbourne",QT Melbourne
"1 Southgate Avenue, Southbank, 3006 Melbourne, Australia",The Langham Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/562261082.webp?k=a0afc909e6433385410e0805d9ce4f189e5c303d27b61e45a4548565ac999a70&o=,"Indulge in the epitome of luxury at The Langham Melbourne, where you'll experience unparalleled service amidst opulent surroundings. Situated along the picturesque banks of the Yarra River, this prestigious hotel boasts an indoor swimming pool with sweeping vistas of the city skyline. Step into a world of elegance adorned with a grand marble staircase, enchanting fountains, and dazzling chandeliers.

Each meticulously appointed room at The Langham Melbourne offers modern comforts such as cable TV and a well-stocked mini-bar, ensuring a truly indulgent stay. Stay connected with complimentary Wi-Fi internet access throughout the hotel.

Unwind and rejuvenate at the luxurious Chuan Spa, where an array of massages and beauty treatments await. Maintain your wellness routine at the state-of-the-art fitness center, complete with a sauna and steam room for ultimate relaxation.

Savor culinary delights at Melba Restaurant, where panoramic views complement the stylish and relaxed ambiance. By day, indulge in elegant afternoon tea at Aria Bar & Lounge, while evenings come alive with a selection of exhilarating cocktails.

The Langham, Melbourne is 600 metres from Crown Casino and 850 metres from Bourke Street Mall. Flinders Street Station is 8 minutes' drive away and Melbourne Cricket Ground (MCG) is a 10-minute drive away. Flemington Racecourse for the Melbourne Cup or Spring Racing Carnival is 23 minutes' drive away.",-37.82078540,https://www.booking.com/hotel/au/the-langham-melbourne.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=3712307_200091929_2_2_0&highlighted_blocks=3712307_200091929_2_2_0&matching_block_id=3712307_200091929_2_2_0&sr_pri_blocks=3712307_200091929_2_2_0__61500&from_sustainable_property_sr=1&from=searchresults,144.96611774,615,AUD,"1 night, 1 adult",Includes taxes and charges,Superior King,1 extra-large double bed,8.8,Fabulous,4520,"Southbank, Melbourne",The Langham Melbourne
"8 Whiteman Street, Southbank, 3006 Melbourne, Australia",Crown Towers Melbourne,https://cf.bstatic.com/xdata/images/hotel/square600/603945620.webp?k=2b1642d9086b60f9e3f60fde6438adcd7218067d5e721efaebd50e6db04fc470&o=,"Rising above Melbourne’s vibrant Southbank precinct, Crown Towers offers spacious luxury rooms with views of the city or Port Phillip Bay. Each room features original artworks and marble bathrooms.

Each room includes a large plasma-screen TV with laptop video-on-demand system, and a separate dressing room. The city and bay views are framed by floor-to-ceiling windows.

Guests at Crown Towers Melbourne have access to the restaurants, cinemas, nightclubs, bars and shopping within the Crown Casino and Entertainment Complex.

Crown Spa offers a range of facials, massages, beauty treatments and therapies. It also has a 25-metre heated indoor pool, steam room, sun terraces and a fully equipped fitness centre.

Located on the southern bank of the Yarra River, Crown Towers is a 10-minute walk from Flinders Street Station.",-37.82362449,https://www.booking.com/hotel/au/crown-towers.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=3785705_323967942_0_2_0&highlighted_blocks=3785705_323967942_0_2_0&matching_block_id=3785705_323967942_0_2_0&sr_pri_blocks=3785705_323967942_0_2_0__93900&from_sustainable_property_sr=1&from=searchresults,144.95995402,939,AUD,"1 night, 1 adult",Includes taxes and charges,Deluxe King Room,1 extra-large double bed,8.9,Fabulous,5353,"Southbank, Melbourne",Crown Towers Melbourne
"495 Collins Street, 3000 Melbourne, Australia","InterContinental Melbourne The Rialto, an IHG Hotel",https://cf.bstatic.com/xdata/images/hotel/square600/245746042.webp?k=0c54b6762653dfaa656b50c316c18f1e8907afc5e7f514c09713e1b299452cf7&o=,"Located within a heritage icon, InterContinental Melbourne The Rialto encapsulates the glamour, grace and grandeur of history past.

Enjoy a cocktail at Bluestone Bar, warm up with our fitness facilities, or take a dip in our heated rooftop pool and jacuzzi, boasting views of the city. When you’re ready to explore, allow our experienced Concierge to direct you to the best kept secrets of Melbourne’s laneway dining and boutique shopping opportunities.

Our rooms and suites offer all the luxuries of a true city escape. Enjoy 24 hour in-room dining, mini-bar and coffee facilities, free Wi-Fi, Chromecast streaming capabilities, and InterContinental Cloud Beds for the perfect night’s sleep.

When reserving a room or suite with Club access, your exclusive Club InterContinental experience will include breakfast, all day refreshments, afternoon tea and evening canapes.

Located within the Rialto Precinct on Collins St, InterContinental Melbourne shares its home with some of Melbourne’s most esteemed venues, including Award Winning Botanica Wellness Spa and Clinic, our signature restaurant, Ronnie’s and Alluvial Restaurant for dining in the atrium.  Not to forget to mention the infamous Vue De Monde, located adjacent to the hotel in the Rialto tower.",-37.818158082813426,https://www.booking.com/hotel/au/melbourne-the-rialto.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaA-IAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4Asyg6bgGwAIB0gIkNDUzODliM2ItZThjZS00MDU4LThmOTctMTZhMmVlODlhZjlj2AIF4AIB&sid=3b52787ec2db0a5e6311a947ae7d40c6&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-13&checkout=2025-01-14&dest_id=1593&dest_type=district&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&nflt=ht_id%3D204&srpvid=947b662f65cb0907&srepoch=1729780584&all_sr_blocks=17935545_395856161_2_1_0_23104&highlighted_blocks=17935545_395856161_2_1_0_23104&matching_block_id=17935545_395856161_2_1_0_23104&sr_pri_blocks=17935545_395856161_2_1_0_23104_59000&from_sustainable_property_sr=1&from=searchresults,144.95794504880905,590,AUD,"1 night, 1 adult",Includes taxes and charges,Classic Queen Room,1 large double bed,8.3,Very,1110,"Melbourne CBD, Melbourne","InterContinental Melbourne The Rialto, an IHG Hotel"
